endTime,artistName,trackName,msPlayed
2024-05-27 15:29,Parul Mishra,Mohbhang,116
2024-05-27 15:45,Rahat Fateh Ali Khan,Tum Jo Aaye & Tere Bin Nahin Lagda,214994
2024-05-27 15:49,Armonian,Agajanana Padmarkam,244957
2024-05-27 15:54,Rajat Nagpal,Main Royaan,249353
2024-05-27 15:57,Rishab Rikhiram Sharma,Kautilya (The Echo Project),191063
2024-05-27 16:00,Aditya A,Heeriye,172461
2024-05-27 16:02,When Chai Met Toast,Tere Aane Se,122791
2024-05-27 16:08,Yasser Desai,Mann Jogiya,361108
2024-05-27 16:13,Mohit Chauhan,Masakali,288647
2024-05-27 16:16,Ananya Birla,Teri Meri Kahani,155156
2024-05-27 16:20,Sachet-Parampara,"Ram Siya Ram (From ""Adipurush"")",230092
2024-05-28 09:41,Shankar-Ehsaan-Loy,O Rangrez,129978
2024-05-28 09:41,Anand Bhaskar Collective,Malhar,743
2024-05-28 09:41,Kanika,Runak Jhunak,696
2024-05-28 09:41,Samyak Prasana,Aahatein,162
2024-05-28 09:41,Keethan,Unakkaga,92
2024-05-28 09:41,Pritam,Radha,301
2024-05-28 09:41,Himonshu Parikh,Katputli Ke Dhaage,348
2024-05-28 09:42,Vismay Patel,Dariya,7314
2024-05-28 12:27,Ritviz,Baaraat,201967
2024-05-28 12:31,One Direction,Night Changes,225163
2024-05-28 12:34,One Direction,Night Changes,487
2024-05-28 12:34,elijah woods,everything everywhere always,673
2024-05-28 12:34,Ruth B.,Dandelions,223236
2024-05-28 12:34,Ed Sheeran,Perfect,626
2024-05-28 12:37,elijah woods,everything everywhere always,147847
2024-05-28 12:41,One Direction,Night Changes,226600
2024-05-29 06:58,Dan + Shay,"10,000 Hours (with Justin Bieber) - Piano",126893
2024-05-29 06:58,Meghan Trainor,Better When I'm Dancin',534
2024-05-29 06:58,Brent Morgan,What Dreams Are Made Of,557
2024-05-29 06:58,Christina Perri,A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,301
2024-05-29 06:58,Andy Delos Santos,Somebody to Love,743
2024-05-29 06:58,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),603
2024-05-29 06:58,Meghan Trainor,Made You Look,719
2024-05-29 07:01,James TW,My Somebody,203453
2024-05-29 07:05,Taylor Swift,Love Story,236266
2024-05-29 07:09,Brent Morgan,Gonna Be Okay,210165
2024-05-29 07:12,Suriel Hess,Little Bit More,180678
2024-05-29 07:15,sad alex,room for you,0
2024-05-29 07:15,Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,176440
2024-05-29 07:15,Ellie Goulding,Love Me Like You Do,5394
2024-05-29 07:15,Dan Pundak,I Want You to Want Me,952
2024-05-29 07:15,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),975
2024-05-29 07:15,Bruno Mars,Count on Me,1230
2024-05-29 07:15,Fiona Harte,What Is Loving Anymore,1578
2024-05-29 07:15,Fiona Harte,What Is Loving Anymore,696
2024-05-29 07:15,Christina Perri,a thousand years,1091
2024-05-29 07:23,rhianne,Somewhere Only We Know,766
2024-05-29 07:23,Jax,like my father,743
2024-05-29 07:23,sad alex,room for you,719
2024-05-29 07:23,Meghan Trainor,Dear Future Husband,603
2024-05-29 07:23,AWIN,My Home,998
2024-05-29 07:23,Fiona Harte,What Is Loving Anymore,52152
2024-05-29 07:23,Cade Thompson,Dear Future Wife,719
2024-05-29 07:28,Ruth B.,Dandelions,231804
2024-05-29 07:28,Ed Sheeran,Perfect,789
2024-05-29 08:00,elijah woods,everything everywhere always,71076
2024-05-29 08:04,Rahat Fateh Ali Khan,Tum Jo Aaye & Tere Bin Nahin Lagda,214994
2024-05-29 08:08,Armonian,Agajanana Padmarkam,244957
2024-05-29 08:27,Rishab Rikhiram Sharma,Kautilya (The Echo Project),232
2024-05-29 08:27,Twin Strings,Dhalti Rahe - Stripped.,603
2024-05-29 08:27,Shankar-Ehsaan-Loy,O Rangrez,417
2024-05-29 08:27,Armaan Malik,"Tere Mere (From ""Chef"")",603
2024-05-29 08:27,Shafqat Amanat Ali,Darmiyaan,441
2024-05-29 08:27,When Chai Met Toast,Tere Aane Se,487
2024-05-29 08:27,Prateek Kuhad,Tere Hi Hum,394
2024-05-29 08:27,Anand Bhaskar Collective,Malhar,417
2024-05-29 08:27,Shreya Ghoshal,Yeh Aaina,464
2024-05-29 08:27,Mohit Chauhan,Masakali,534
2024-05-29 08:27,Kanika,Runak Jhunak,719
2024-05-29 08:27,Samyak Prasana,Aahatein,464
2024-05-29 08:27,Aditya A,Heeriye,835
2024-05-29 08:27,Sachet-Parampara,"Ram Siya Ram (From ""Adipurush"")",510
2024-05-29 08:27,Anand Bhaskar Collective,Jaadoogari,928
2024-05-29 08:27,Vismay Patel,Pal Behta Jaaye 2.0,441
2024-05-29 08:27,Vismay Patel,Pal Behta Jaaye 2.0,325
2024-05-29 08:27,Keethan,Unakkaga,464
2024-05-29 08:27,Arun Muraleedharan,"Aval - From ""Op 160/18 Kakshi: Amminippilla""",719
2024-05-29 08:27,Rajat Nagpal,Main Royaan,242055
2024-05-29 08:27,Vismay Patel,Dariya,348
2024-05-29 08:27,Pritam,Radha,487
2024-05-29 08:27,Namita Choudhary,Chaap Tilak,325
2024-05-29 08:27,Yasser Desai,Mann Jogiya,696
2024-05-29 08:27,Ananya Birla,Teri Meri Kahani,487
2024-05-29 08:27,Himonshu Parikh,Katputli Ke Dhaage,208
2024-05-29 08:30,Prateek Kuhad,Tere Hi Hum,177026
2024-05-29 08:45,Vismay Patel,Pal Behta Jaaye 2.0,183135
2024-05-29 09:03,Anand Bhaskar Collective,Jaadoogari,260000
2024-05-29 09:23,Naseebo Lal,Tu Jhoom,397546
2024-05-29 09:27,Kaavish,Nindiya Re - Studio Version,225645
2024-05-29 09:28,Cody Francis,Feel So Lucky,16543
2024-05-29 09:31,Kaavish,Nindiya Re - Studio Version,225645
2024-05-29 09:32,Amaal Mallik,"Jaan Hai Meri (From ""Radhe Shyam"")",998
2024-05-29 09:32,Harry Gregson-Williams,Fairytale,719
2024-05-29 09:32,Pritam,Abhi Kuch Dino Se,1068
2024-05-29 09:32,Ed Sheeran,Perfect - Acoustic,696
2024-05-29 09:32,AVIWKILA,"I Like You so Much, You’ll Know It",719
2024-05-29 09:32,Anurag Saikia,Aise Kyun,1160
2024-05-29 09:32,elijah woods,"24/7, 365",673
2024-05-29 09:32,Taylor Swift,Lover (Remix) [feat. Shawn Mendes],882
2024-05-29 09:32,Rishab Rikhiram Sharma,Tilak Kamod,812
2024-05-29 09:32,Pritam,Tu Hi Haqeeqat,835
2024-05-29 09:32,Cody Francis,Feel So Lucky,7098
2024-05-29 09:32,Chirag Katti,Inspiration,789
2024-05-29 09:32,Anoop Shankar,Chandra Chooda - Keerthanam,766
2024-05-29 09:32,A.R. Rahman,Kun Faya Kun,673
2024-05-29 09:32,Javed-Mohsin,Pal,1091
2024-05-29 09:32,Parul Mishra,"Mohbhang (From ""Aspirants"") - Extended",1021
2024-05-29 09:32,Rahat Fateh Ali Khan,Mann Ki Lagan,417
2024-05-29 09:32,Hiphop Tamizha,"Vilambara Idaiveli - From ""Imaikkaa Nodigal""",835
2024-05-29 09:32,Malabar Gold & Diamonds,Nrityanjali,952
2024-05-29 09:32,Pritam,Hardum Humdum,812
2024-05-29 09:32,Yours lo-fi,Mann Mohi Gayu Lo-Fi Remake,882
2024-05-29 09:32,Sunidhi Chauhan,Lae Dooba,743
2024-05-29 09:32,ANDREAH,Best Friend,766
2024-05-29 09:32,Mitraz,Akhiyaan,743
2024-05-29 09:34,Lakhinandan Lahon,Sri Krishna Flute,154816
